benchmark,relay,cap,obs,up,down
fixedrate,direct,300,18,7.26,314.737
fixedrate,direct,300,19,7.128,310.875
fixedrate,direct,300,20,7.26,318.224
fixedrate,direct,310,1,3.535,113.199
fixedrate,direct,310,2,4.29,187.736
fixedrate,direct,310,3,7.326,330.052
fixedrate,direct,310,4,12.276,548.676
fixedrate,direct,310,5,7.986,354.116
fixedrate,direct,310,6,7.326,325.141
fixedrate,direct,310,7,7.326,325.141
fixedrate,direct,310,8,6.93,305.364
fixedrate,direct,310,9,10.836,284.303
fixedrate,direct,310,10,8.514,386.782
fixedrate,direct,310,11,7.326,325.141
fixedrate,direct,310,12,7.194,322.469
fixedrate,direct,310,13,6.6,297.633
fixedrate,direct,310,14,7.541,338.73
fixedrate,direct,310,15,7.862,341.848
fixedrate,direct,310,16,7.194,319.926
fixedrate,direct,310,17,7.26,326.945
fixedrate,direct,310,18,7.326,329.208
fixedrate,direct,310,19,7.326,325.352
fixedrate,direct,310,20,7.368,325.201
fixedrate,direct,320,1,3.685,118.514
fixedrate,direct,320,2,4.422,198.334
fixedrate,direct,320,3,6.864,308.856
fixedrate,direct,320,4,10.506,343.678
fixedrate,direct,320,5,8.64,336.627
fixedrate,direct,320,6,6.408,251.843
fixedrate,direct,320,7,9.93,249.198
fixedrate,direct,320,8,9.892,322.203
fixedrate,direct,320,9,8.376,307.342
fixedrate,direct,320,10,5.742,263.436
fixedrate,direct,320,11,6.666,307.342
fixedrate,direct,320,12,6.613,295.23
fixedrate,direct,320,13,6.415,292.597
fixedrate,direct,320,14,7.883,335.443
fixedrate,direct,320,15,7.524,340.65
fixedrate,direct,320,16,15.45,554.124
fixedrate,direct,320,17,10.362,481.452
fixedrate,direct,320,18,9.9,459.669
fixedrate,direct,320,19,7.92,358.807
fixedrate,direct,320,20,7.59,343.349
fixedrate,direct,330,1,3.355,103.526
fixedrate,direct,330,2,3.96,168.509
fixedrate,direct,330,3,6.336,280.09
fixedrate,direct,330,4,7.109,299.838
fixedrate,direct,330,5,10.968,434.518
fixedrate,direct,330,6,12.424,418.746
fixedrate,direct,330,7,9.57,440.574
fixedrate,direct,330,8,13.854,510.809
fixedrate,direct,330,9,7.92,340.989
fixedrate,direct,330,10,7.854,350.316
fixedrate,direct,330,11,7.524,341.549
fixedrate,direct,330,12,7.722,343.872
fixedrate,direct,330,13,7.59,340.863
fixedrate,direct,330,14,7.458,340.105
fixedrate,direct,330,15,7.656,345.582
fixedrate,direct,330,16,7.59,340.32
fixedrate,direct,330,17,8.646,376.601
fixedrate,direct,330,18,6.93,311.228
fixedrate,direct,330,19,7.722,349.558
fixedrate,direct,330,20,8.316,375.707
fixedrate,direct,340,1,3.739,121.233
